"번호","주제분류","문화시설명","주소","자치구","위도","경도","전화번호","팩스번호","홈페이지","관람시간","관람료","휴관일","개관일자","객석수","대표이미지","기타사항","시설소개","무료구분","지하철","버스정거장","YELLOW","GREEN","BLUE","RED","공항버스"
"332","미술관/갤러리","스페이스애프터","서울특별시 서대문구 연희로15길 64","서대문구","37.5700991192566","126.929494474061","0507-1330-7512","","https://www.instagram.com/space_aefter/","","","월요일, 화요일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b565c500f02946c983cd684ec3607839&thumb=Y","","<p><span style='font-size: 14pt;'>SPACE ÆFTER는 작품과 전시 그리고 비평 간의 지속적인 논의가 이루어지는 장소이다. 동시대 한국 미 술의 지형은 제도권이 제안하는 제한적 방식의 반복을 통해 움직여 왔다. 그것은 미술관과 미술시장을 중 심으로 작가와 작품이 이동하고, 거기에 비평적 논의가 장식처럼 부가되는 형태라고 할 수 있다. 이 과정 에서 이 시대 미술의 존재 이유와 미술을 해야 하는 원초적 질문은 희미해졌으며, 하나의 전시가 끝나면 한 사람의 작가도 한편의 비평도 함께 공기 속으로 사라져 공허를 양산하는 시스템이 고착되었다.</span><br></p><p><span style='font-size: 14pt;'>SPACE ÆFTER는 동시대 한국 미술의 동인(動因)으로서, 바로 '미술'이라는 물질을 탐구하며, 그로 인해 요동치는 변화를 발굴하는 前과 後의 공간이다. 이곳은 예술이 이상과 무모와 결탁하여 키득거리던 자신 만만한 유머와 야생을 회복하기 위한 공간이다. 그것은 미술의 존재 이유를 묻는 근본적 회복과 재귀적 태 도이면서, 앞뒤 살피지 않는 직관으로 딛는 발걸음에 대한 요구를 담는다. '개의치 않는 것.' 이것이 SPACE ÆFTER의 모토이다. 이곳을 딛고 서서, 선망의 이름들이 유통되는 욕망의 경주에 냉담하고, 맥박 없는 후행으로서의 비평을 경계하며, 최신 유행 담론 따위에 무관심한 대신, 미술이 지닌 인간과 비인간의 본능, 그리고 응당 그 감각 및 운동에 충실한 미술을 행한다.</span></p><p><span style='font-size: 14pt;'>아방가르드의 역사가 보여주듯, SPACE ÆFTER에서 일어날 다양한 이야기도 머지 않아 기성 세대의 관 습적 과거의 길을 피할 수는 없을 것이다. 그러나 낭만주의 이후, 미술은 늘 그렇게 움직여 왔다. 여기서 중요한 것은 '움직임' 자체이다. 낡은 것과 새로운 것 사이의 끊임없는 역동이 일어나는 현장은 비엔날레 도, 거대 미술관도 아니며, 지금 한국의 작은 공간들에서 일어나는 분방한 작당과 오만한 실행에 있다. 그 것이 역사이다. 그리고 after의 古語인 'æfter'는 이같은 복잡계와 복합체 속에서 낡은 것과 새로운 것에 대한 분류를 뛰어넘는 결합과 종횡의 역사를 담기 위한 기표이다. 작업하고, 비평하고, 토론하고, 미술을 계속하여, 미술을 하는 것. 이것이 일어나는 장소가 SPACE ÆFTER이다.</span></p>","무료","","","","","","",""
"344","미술관/갤러리","갤러리 히든플레이스","서울특별시 서대문구 이화여대2가길 24, 2층","서대문구","37.5584812115306","126.946249418096"," 0507-1393-7755","","https://www.instagram.com/hiddenplace.kr","","0","월요일 및 국정 공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8e85fb7c5a11414bb62c35a2cb723472&thumb=Y","","<p style='line-height: 1.8;'><span style='font-size: 14pt;'>이대 정문에 위치한 일러스트,  회화  , 공예 작가들의 작품을 전시하는 전시공간입니다 </span></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>현대미술의 흐름과 젊은 작가들의 새로운 작업을 볼 수 있습니다&nbsp;</span></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'> 문의 hiddenplace.kr@gmail.com</span></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>평일 am 11 - pm 7시 / 주말 pm 1   - pm 5시 까지 (월요일 휴무)</span></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>서울시 서대문구 이화여대 2가길 24 2층</span></p>","무료","","","","","","",""
"333","미술관/갤러리","종로구립 고희동미술관","서울 종로구 창덕궁5길 40 종로구립 고희동미술관","종로구","37.5831855099227","126.988884857967","02-741-8424","","https://www.jfac.or.kr/site/main/content/gohd01","","","월요일, 1월 1일, 설날, 추석","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a22f19218c2340ab916a59e1ae5f1f64&thumb=Y","","<div><span style='font-size: 14pt;'><b>우리나라 최초의 서양화가춘곡 고희동의 가옥</b></span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>종로구립 고희동 미술관은 등록문화재 제84호로(2004년에등록) 고희동 화백이 일본 유학 후 돌아와 직접 설계하고 41년 간 거주한 근대식 한옥으로 복원공사를 거쳐 2012년 11월에 개관하였습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>고희동 미술관은 고희동 화백의 다양한 작품이 탄생하였으며 당대의 예술가들과 활발히 교류한 공간으로써 근대예술사적 의미와 한옥 건축의 변화양상을 바탕으로 고희동 화백의 작품세계 및 근대미술을 소개하는 전시를 개최하고 있습니다.</span></div><div><span style='font-size: 14pt;'>앞으로도 가옥의 아름다운 마당을 활용한 음악회, 전시 연계 프로그램 등 다양한 콘텐츠 또한 기획하여 시민들에게 문화향유의 공간을 제공할 것입니다.</span></div><div><span style='font-size: 14pt;'>&nbsp;</span></div><div><span style='font-size: 14pt;'>가옥은 전통 한옥과 일본 가옥의 절충을 시도하였으며 지상 1층의 사랑채(사랑방, 화실, 자료실, 제1전시실)와 안채(제2전시실, 제3전시실)로 구성되어 있습니다.</span></div><div><span style='font-size: 14pt;'>전통 한옥의 구조를 기본으로 갖고 있으나 채와 채 사이를 연결한 복도는 가족들이 안채와 바깥채를 오가기 편하도록 하기 위한 점이 돋보입니다.</span></div><div><span style='font-size: 14pt;'>‘한국 근대미술의 산실인 동시에 일제강점기 주거 모습을 보여주는 의미 있는 가옥’으로 인정받아 2004년 ‘원서동 고희동 가옥’이란 이름으로 등록문화재로 등재되었습니다.</span></div>","무료","","","","","","",""
"334","미술관/갤러리","갤러리 구루지","서울특별시 구로구 가마산로25길 21","구로구","37.4971026873195","126.889549086694","02-2029-1700","","https://www.guroartsvalley.or.kr/user/overall/overallArt3.do","","0","전시에 따라 상이","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=baa5825dbd88444f83dec7f322053f8b&thumb=Y","","<p><br></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'><b><span style='font-size: 12pt;'>갤러리 구루지</span></b>는 주민들의 문화 향유 증대를 위한 구로구 대표 갤러리로,&nbsp;</span></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'>기획 및 대관전시를 상시 운영하고 있습니다.</span></p><p><br></p><p style='line-height: 1.8;'><br></p>","무료","","","","","","",""
"335","기타","SPACE 1257","서울특별시 강남구 학동로 146, 와일리 타워 1층","강남구","37.5125036615996","127.026928980849","02-6952-1251","","https://www.instagram.com/space_1257/","","0","일부 공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=025757b592d5461d9c09fddbb3accb2f&thumb=Y","","<p style='line-height: 1.8;'><span style='font-size: 14pt;'>Space 1257 은 논현 가구거리에 위치한 갤러리 카페로서, 신진, 중진작가들이 대중에게 쉽게 다가가며, 대중과 함께 즐길 수 있는 공간을 목표로 2021년 2월 개관하였습니다.</span><br></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>매달 새로운 작가님들의 전시가 기획되어 있어 작품을 감상 및 구매하실 수 있으며, 1257 staff 들이 준비한 수제 밀크티, 크로플 등 프리미엄 디저트와 음료도 준비되어 있습니다.</span><br></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>또한, 일러스트 디자인 브랜드 웜그레이테일(warmgreytail)의 액자, 패브릭, 테이블웨어, 소품 등이 준비되어 있어 제품을 직접 보고 구매하실 수 있습니다.</span><br></p><p><br></p>","무료","","","","","","",""
"336","박물관/기념관","세계골프역사박물관","서울특별시 강남구 테헤란로 528","강남구","37.5080952698916","127.062000046367","02-2192-3005","","https://blog.naver.com/golfhistory","","성인: 5,000원 / 청소년, 어르신(만 65세 이상)/ 동반 10인 이상 관람: 3,000원","토요일, 일요일, 공휴일 ","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f17edda73ab141fea4542f5d4a4f8414&thumb=Y","","<p class='0'><span style='font-size: 12pt;'>세계골프역사박물관은&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>(</span><span style='font-size: 12pt;'>주</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>)</span><span style='font-size: 12pt;'>슈페리어가 골프 스포츠의 저변확대를 위해&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>2014</span><span style='font-size: 12pt;'>년에 개관한 서울시 등록박물관입니다</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>.</span></p><p class='0'>&nbsp;<o:p></o:p></p><p class='0'><span style='font-size: 12pt;'>세계골프역사박물관은 우리나라 최초이자 유일한 골프 전문박물관으로 영국</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>?</span><span style='font-size: 12pt;'>미국 등의&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>18</span><span style='font-size: 12pt;'>세기 골프클럽</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>골프공</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>골프대회 관련유물 뿐 아니라 한국초창기 골프유물부터 현대골프관련유물까지 시간</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>?</span><span style='font-size: 12pt;'>공간을 아우르는 전시를 통해&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>'</span><span style='font-size: 12pt;'>운동사</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>(</span><span style='letter-spacing: 0pt; font-size: 12pt;'>運動史</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>)'&nbsp;</span><span style='font-size: 12pt;'>로서의 골프역사를 한 눈에 볼 수 있는 박물관입니다</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>.</span></p><p class='0'><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'><br></span></p><p class='0'><span style='font-size: 12pt;'>골프의 기원을 비롯하여</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>세계 골프의 역사와 한국 골프의&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>100</span><span style='font-size: 12pt;'>년사를 한 눈에 볼 수 있도록&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>19</span><span style='font-size: 12pt;'>세기 골프클럽부터 잭니클라우스의 기증유물</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>최경주</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>?</span><span style='font-size: 12pt;'>박인비 선수의 기증유물에 이르기까지&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>150</span><span style='font-size: 12pt;'>여평에 약&nbsp;</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>500</span><span style='font-size: 12pt;'>여 점의 유물들로 전시가 구성되어 있습니다</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>.</span></p><p class='0'><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'><br></span></p><p class='0'><span style='font-size: 12pt;'>또한</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>골프라는 주제로 특별한 전시연계프로그램도 운영하고 있습니다</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>.&nbsp;</span><span style='font-size: 12pt;'>학예사와 티칭프로 등 전문가가 미취학 아동</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>초등</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>중고등 학령별에 맞춰 개발한 세계골프역사박물관의 교육프로그램과 성인을 위한 심도깊은 강의프로그램들이 서울시 중고등학교</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>롯데백화점 문화센터</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>,&nbsp;</span><span style='font-size: 12pt;'>현대백화점 문화센터 등 다양한 기관과 연계하여 진행되고 있습니다</span><span lang='EN-US' style='font-family: 함초롬바탕; letter-spacing: 0pt; font-size: 12pt;'>.</span></p>","유료","","","","","","",""
"337","미술관/갤러리","경춘선숲길 갤러리","서울특별시 노원구 화랑로 620","노원구","37.6250819894787","127.093707085206","02-2289-3490~3491 / 02-2289-3440","","https://www.nowonarts.kr/html/cultureeducation/culturalfacility.php","","0","매주 월요일 및 법정공휴일(일요일 제외)","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=494d80ea19f3425c9f90dabdc8ff8cac&thumb=Y","","<p style='line-height: 1.8;'><span style='color: rgb(51, 51, 51); font-size: 14pt;' 맑은='' 고딕';='' font-size:='' 12pt;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>경춘선숲길 갤러리는 노원구민의 문화 향유를 증진하고, 지역문화예술발전에 기여하고자 만들어진 문화예술 공간입니다.</span><br style='box-sizing: border-box; color: rgb(51, 51, 51); font-family: ' noto='' sans='' kr',='' sans-serif;='' font-size:='' 15px;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='color: rgb(51, 51, 51); font-size: 14pt;' 맑은='' 고딕';='' font-size:='' 12pt;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>컨테이너 구조의 건물로, 약 134m² 면적의 전시실과 야외무대 및 관객석으로 구성되어 있어 전시, 공연, 체험 프로그램 등 각종 문화예술 활동이 가능합니다.</span><br></p><p><span style='color: rgb(51, 51, 51); font-family: ' noto='' sans='' kr',='' sans-serif;='' font-size:='' 15px;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><br></span></p><p style='line-height: 1.8;'><span style='color: rgb(51, 51, 51); font-size: 14pt;' 맑은='' 고딕';='' font-size:='' 12pt;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><b>운영시간</b></span></p><p style='line-height: 1.8;'><span style='color: rgb(51, 51, 51); font-size: 14pt;' 맑은='' 고딕';='' font-size:='' 12pt;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>평일(화~금) 14:00~20:00</span><br style='box-sizing: border-box; color: rgb(51, 51, 51); font-family: ' noto='' sans='' kr',='' sans-serif;='' font-size:='' 15px;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='color: rgb(51, 51, 51); font-size: 14pt;' 맑은='' 고딕';='' font-size:='' 12pt;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>주말(토~일) 12:00~20:00 <br><br></span></p><p style='line-height: 1.8;'><span style='color: rgb(51, 51, 51); font-family: ' noto='' sans='' kr',='' sans-serif;='' font-size:='' 15px;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><br></span></p><p><span style='color: rgb(51, 51, 51); font-family: ' noto='' sans='' kr',='' sans-serif;='' font-size:='' 15px;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><br></span></p><p><span style='color: rgb(51, 51, 51); font-family: ' noto='' sans='' kr',='' sans-serif;='' font-size:='' 15px;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><br></span></p>","무료","","","","","","",""
"338","박물관/기념관","국립중앙박물관","서울특별시 용산구 서빙고로 137","용산구","37.52385582212769","126.98020301648833","02-2077-9000","","http://www.museum.go.kr","","0","1월1일, 설날 당일, 추석 당일 / 상설전시실 정기휴실일: 매년 4월, 11월(첫째 월요일)","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f3c4a0327101416098bdf70b526aa2cf&thumb=Y","","<p><span style='font-size: 14pt;'>국립중앙박물관은 용산으로 이전하여 2005년 개관한 이래 국민 여러분의 관심과 사랑을 받으며 많은 발전을 거듭하였습니다.</span></p><p><span style='font-size: 14pt;'>시대와 주제별로 제시된 6개의 상설전시관, 다양한 내용을 선보이는 특별전시관, 관람의 이해를 돕는 전시해설 프로그램, 오감으로 즐기고 배우는 어린이박물관, 다채로운 교육 프로그램, 첨단기술을 활용한 실감콘텐츠 등을 마음껏 누리고 즐기실 수 있습니다. (특별 전시는 유료입니다.)</span></p><p><span style='font-size: 14pt;'>박물관은 계절에 따라 아름다운 꽃이 피어나는 정원을 산책하며 여유있고 즐거운 시간을 보내는 도심 속 힐링 공간이기도 합니다.</span></p><p><span style='font-size: 14pt;'>일상의 짧은 나들이에서 만나는 문화유산과 자연풍광은 기대 이상의 감동으로 여러분의 지적?문화적 갈증을 채워드릴 것입니다.</span></p>","무료","","","","","","",""
"339","박물관/기념관","서울우리소리박물관","서울특별시 종로구 율곡로 96","종로구","37.577157928122","126.989622047178","02-742-2600","","https://museum.seoul.go.kr/sekm","09:00 ~ 18:00 화~일 (입장 마감 17:30)<br>18:00 ~ 21:00 매주 금요일 서울문화의밤 운영(2024.04.~12.)<br>※개관시설: 음원감상실, 테마전시공간, 후원 등","0","매주 월요일, 1월 1일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8e12eacb436f4ff58a6ad27c0a4af21b&thumb=Y","향토민요 등 4,657건","<p style='line-height: 1.8;'><span style='font-size: 14pt;'>'서울우리소리박물관'은 우리 민족의 정서가 고스란히 녹아있는 향토민요를 보고 들어볼 수 있는 박물관입니다.&nbsp;</span></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>향토민요는 전문 소리꾼이 아닌 보통 사람들이 일상생활 속에서 부르는 노래로서, '구전민요' 또는 '토속민요'라고도 합니다.&nbsp;</span><br></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>향토민요는 1960년대 이후 진행된 급속한 산업화의 물결에 밀려 우리 곁에서 사라지고 있습니다. 서울시에서는 이렇게 사라져가는 향토민요를 기록한 자료들을 모아 시민 여러분이 편하게 보고 들을 수 있도록 하기 위해서 우리소리박물관을 만들었습니다.&nbsp;</span><br></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>서울우리소리박물관에서 소박한 아름다움을 간직한 향토민요의 정취를 느껴보시기 바랍니다.</span><br></p>","무료","","","","","","",""
"340","도서관","대방어린이도서관","서울특별시 동작구 대방동길 55","동작구","37.5030254852903","126.925222696163","02-813-6740","02-813-6741","https://lib.dongjak.go.kr/dj/html.do?menu_idx=79","","0","매주 월요일, 법정공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a63e0f3275d54cf1a47a225708e3efcd&thumb=Y","","<div style='text-align: center;' align='center'><b style='font-size: 14pt;'>피어나는 작은 꿈을 위해 디딤돌이 되겠습니다.  어린이와 함께 성장하며 꿈꾸는 대방어린이도서관입니다.</b></div>","무료","","","","","","",""
"341","기타","북촌전통공예체험관","서울특별시 종로구 북촌로12길 24-5","종로구","37.582435035003456","126.98599257318986","02-741-2148","","https://tour.jongno.go.kr/tour/main/contents.do?menuNo=110544#110544","","0","설날, 추석 당일 휴무","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a5828b8e4e0140fc8a39c7a3fe64abe1&thumb=Y","","<p><span style='font-size: 14pt;'>북촌전통공예체험관은 북촌을 방문하는 국내외 관광객들에게 한국 전통공예의 우수성을 알리기 위하여 마련한 공간으로 체험장, 전시장, 교육장으로 구성되어 있습니다. </span></p><p><span style='font-size: 14pt;'>체험장에서는 요일별로 마련된 프로그램을 선택하여 체험할 수 있고 전시장에서는 전통공예 작품들을 무료로 관람할 수 있습니다.&nbsp;</span></p><p><span style='font-size: 14pt;'><br></span></p><p><span style='font-size: 14pt;'> ○ 운영 : 연중무휴(단, 설날/추석 당일 휴무)&nbsp;</span></p><p><span style='font-size: 14pt;'>○ 시간 : 3~10월 10:00~18:00 / 11~2월 10:00~17:00&nbsp;</span></p><p><span style='font-size: 14pt;'><br></span></p><p><span style='font-size: 14pt;'> &lt;단체체험 예약 안내&gt;&nbsp;</span></p><p><span style='font-size: 14pt;'>○ 기준인원 : 최소 10명 이상~ 최대 45명&nbsp;</span></p><p><span style='font-size: 14pt;'>○ 예약방법 : 체험희망일 기준 최소 3일전 전화 예약(개인은 북촌전통공예체험관에서 현장접수 후 체험 가능)&nbsp;</span></p><p><span style='font-size: 14pt;'>○ 예약전화 : 02-741-2148</span></p>","무료","","","","","","",""
"342","박물관/기념관","함석헌기념관","서울특별시 도봉구 도봉로123길 33-6","도봉구","37.6529616157973","127.034796402967","02-905-7007","","http://hamsokhon.dobong.go.kr/","","0","매주 월요일, 1월 1일, 설날 연휴, 추석 연휴","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cfa4ea2ba2b746d597ae33b29e495da2&thumb=Y","","<p style='border: 0px; font-size: 15px; font-family: ' noto='' sans='' kr',='' 'nanum='' gothic',='' 'malgun='' '맑은='' 고딕',='' dotum,='' sans-serif;='' text-size-adjust:='' none;='' color:='' rgb(51,='' 51,='' 51);='' line-height:='' 25px;='' word-break:='' keep-all;='' width:='' 842.391px;='' letter-spacing:='' -0.05em;='' background-color:='' rgb(255,='' 255,='' 255);'=''>함석헌기념관은 우리나라를 대표하는 인권 운동가로 &lt;씨알의 소리&gt;를 창간하고 시인, 교육자, 사상가, 언론인, 역사가로서의 삶을 살았던 함석헌 선생(1901 ~ 1989)을 기리기 위해 마지막 여생을 보내셨던 도봉구 쌍문동 집을 보존, 리모델링하여 작은 기념관 형식으로 건립한 것입니다.</p><p style='margin-top: 30px; border: 0px; font-size: 15px; font-family: ' noto='' sans='' kr',='' 'nanum='' gothic',='' 'malgun='' '맑은='' 고딕',='' dotum,='' sans-serif;='' text-size-adjust:='' none;='' color:='' rgb(51,='' 51,='' 51);='' line-height:='' 25px;='' word-break:='' keep-all;='' width:='' 1017.89px;='' letter-spacing:='' -0.05em;='' background-color:='' rgb(255,='' 255,='' 255);'=''>함석헌 선생이 생활하셨던 지상 1층은 선생의 유품 전시, 발자취, 영상 상영 등 전시실로 구성하였으며, 창고로 사용하셨던 지하 1층은 세미나실, 도서열람실, 게스트룸 등 주민커뮤니티 공간으로 구성하였습니다. 그 외에도 씨알갤러리와 주민공간으로 유리온실과 앞마당 쉼터가 조성되어있습니다.</p>","무료","","","","","","",""
"343","박물관/기념관","다문화박물관","서울특별시 은평구 불광로 135","은평구","37.6187820901707","126.932520730455","02-356-6846","070-8228-6846","http://www.multiculturemuseum.com/main/index.php","","유아, 학생, 성인 10,000원 (24개월미만 무료) ※할인 : 장애복지카드 소지자 본인 50%, 서울시 다둥이카드 10%","홈페이지 참조","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c83ca21295b64e7e87b183df5e792bbb&thumb=Y","","<div><span style='font-size: 18.6667px;'>다문화박물관은 각국의 랜드마크 등 전통의상, 악기, 인형, 화폐 등의 전시와 세계의 전통 문화?춤?의상?음식 등&nbsp;</span></div><div><span style='font-size: 18.6667px;'>세계문화를 쉽게 이해하고 체험할 기회를 제공하고자 설립된 기관입니다.&nbsp;</span></div><div><span style='font-size: 18.6667px;'>다양한 문화가 공존하는 시대적 변화에 맞게 열린 마음으로 타문화를 수용하고 함께 교류할 수 있는 역활을 수행하고자 하며,&nbsp;</span></div><div><span style='font-size: 18.6667px;'>보고, 듣고, 만들고, 먹고, 입어 볼 수 있는 오감 만족 체험 공간으로 세계의 다양한 문화와 특성을 한 공간에서 경함 할 수 있는 복합 문화 공간입니다.</span></div>","유료","","","","","","",""
"345","미술관/갤러리","장디자인아트","서울 강남구 도산대로67길 27 1-2F","강남구","37.5258729308666","127.044255933185","02-514-0555","02-514-0522","https://www.jeandesignart.com/","","0","매주 일요일, 월요일 (동절기 휴관)","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d1a27734b5fd4f5e9a06ce9d115a65cd&thumb=Y","","<span style='font-size: 14pt;'>장디자인아트는 영역을 타파하는 국내외 현대미술의 새로운 시선을 선보이고, 이를 대중과 소통하고 공간에 적용함으로써, 삶과 예술이 한데 어우러지는 한국의 예술 문화가 자리잡고, 이를 세계 속에 알리는데 기여하고자 2020년 새로이 설립된 회사입니다. 이를 위해 장디자인아트는 아트/디자인 갤러리 운영 뿐 아니라, 상업 공간의 통합적인 비즈니스 컨텐츠 및 공간 디자인 제안이라는 차별화된 서비스 제공하는 아트와 디자인 컨설팅 스튜디오 사업분야를 운영하고 있습니다. 이제 공간은 상업 공간의 수익을 극대화하기 위해 공간 그 자체가 차별화된 비즈니스 모델이고 마케팅이고 브랜드인 시대가 되었습니다. 이러한 공간의 비즈니스와 디자인을 유기적으로 연결하여 섬세하게 기획하기 위해서는 비즈니스적, 디자인적 양면을 모두 통합하여 볼 수 있는 역량이 필요합니다. 이를 위해 다양한 영역에서 경험을 가진 사람들이 모여 협업하는 회사가 탄생하였습니다. 장디자인아트는 장기적으로 현대 아트/디자인 뮤지엄 설립을 통해 우리나라 아트와 디자인 발전에 기여하고자 합니다.</span>","무료","","","","","","",""
"346","미술관/갤러리","청화랑","서울특별시 강남구 삼성로147길 4","강남구","37.5227377435925","127.0476509664","02-543-1663","02-543-1563","https://www.chungartgallery.com/","","0","공휴일, 일요일 월요일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a5912a86d4eb478a9643f9ebc45d50fc&thumb=Y","","<div><span style='font-size: 14pt;'>청화랑은 1987년 서울 종로구에 개괸하였고 1994년부터 강남구 청담동에 위치하고 있습니다.</span></div><div><span style='font-size: 14pt;'>국내 중견이상 원로 작가들 작품을 초대, 전시 하여 미술 시장 확대에 앞장 서왔습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>홍콩, 마이애미, 뉴욕, 상하이 등 해외 아트페어에 꾸준히 참가하고 있으며 매년 국내 대표 아트페어에 참가하여 컬렉터들을 만나고 있습니다.</span></div><div><span style='font-size: 14pt;'>급변하는 미술시장에 맞추어 젊고 능력있는 신진작가 발굴에도 힘쓰고 있습니다.&nbsp;</span></div>","무료","","","","","","",""
